ph,treatment,disease,Lead,Mercury,Arsenic,Fluoride,Pesticides,Bacteria
9.74,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
9.58,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
7.05,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
4.04,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.05,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.02,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.13,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.96,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
5.92,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.98,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
6.63,Activated Carbon Filter + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Nervous system damage",1,1,0,0,0,1
8.14,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
9.11,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.24,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,1,0
4.14,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
6.3,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
5.45,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
4.88,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
8.28,No treatment needed,Healthy,0,0,0,0,0,0
8.75,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
8.09,No treatment needed,Healthy,0,0,0,0,0,0
6.17,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.54,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.71,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
4.55,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
7.86,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
7.37,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
5.0,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
4.39,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
8.23,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
4.58,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.9,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
8.48,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
6.49,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
6.32,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
7.16,No treatment needed,Healthy,0,0,0,0,0,0
4.94,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.51,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
7.36,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
9.89,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
5.7,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
9.18,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
9.0,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.33,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
6.65,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
7.74,No treatment needed,Healthy,0,0,0,0,0,0
5.88,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
8.35,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
4.68,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
7.91,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
7.25,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
6.55,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
9.5,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
7.97,No treatment needed,Healthy,0,0,0,0,0,0
4.1,Granular Activated Carbon + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,1
7.5,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
7.51,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
7.25,No treatment needed,Healthy,0,0,0,0,0,0
7.91,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.89,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
8.37,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
7.17,No treatment needed,Healthy,0,0,0,0,0,0
4.41,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
7.49,No treatment needed,Healthy,0,0,0,0,0,0
5.62,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.39,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
7.53,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
9.91,Activated Carbon Filter + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Brain damage, Hormonal imbalance, Nervous system damage",1,1,0,0,1,0
6.45,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.02,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,0,0,0,0,0
4.76,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
7.74,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
4.98,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
5.1,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
5.02,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
9.56,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
8.14,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.05,No treatment needed,Healthy,0,0,0,0,0,0
4.35,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.82,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
4.98,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
9.15,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
8.74,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
5.76,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.99,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
9.19,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
4.75,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
8.86,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.19,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
5.94,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.83,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
6.07,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
8.05,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
8.46,No treatment needed,Healthy,0,0,0,0,0,0
4.15,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.97,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
6.3,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
4.69,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
9.76,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
6.2,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.49,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
4.5,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
4.92,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.38,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.69,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
9.51,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,1,1,0,1
7.22,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
9.47,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
5.19,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
9.83,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
5.93,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
5.59,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
9.75,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
9.55,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.57,No treatment needed,Healthy,0,0,0,0,0,0
8.71,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.51,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.39,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
8.36,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.78,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.47,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.25,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
6.73,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
8.53,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
9.78,Activated Carbon Filter + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skin lesions, Cancer",0,1,1,0,0,1
5.82,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.29,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
4.91,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.28,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.05,No treatment needed,Healthy,0,0,0,0,0,0
7.93,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
9.72,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
4.27,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.76,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.8,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
8.33,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
6.67,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
6.62,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
6.29,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
8.81,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.13,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.1,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.32,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
5.8,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.07,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
9.48,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
4.99,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
9.72,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
8.69,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
7.24,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,1,0,0,0
6.5,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
7.19,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
8.76,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
6.44,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
9.88,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.68,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.63,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,1,1,1,0,0
6.94,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
4.07,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
6.29,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
4.94,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
8.89,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
7.37,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
6.28,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
7.58,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.9,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
5.52,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
5.98,Activated Carbon Filter + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skin lesions, Cancer",0,1,1,0,0,1
6.11,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
8.16,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
8.92,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
8.1,No treatment needed,Healthy,0,0,0,0,0,0
8.9,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
9.73,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
5.86,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.96,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
9.54,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.11,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.31,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
8.73,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
7.92,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
5.6,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
7.4,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
5.09,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
9.78,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
4.12,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.2,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.63,Granular Activated Carbon + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,1
5.15,Activated Carbon Filter + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skin lesions, Cancer",0,1,1,0,0,1
6.46,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,1,0,1
8.42,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
8.0,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
6.95,No treatment needed,Healthy,0,0,0,0,0,0
9.43,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
6.65,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
5.76,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
8.44,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
4.37,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.26,No treatment needed,Healthy,0,0,0,0,0,0
5.57,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
9.41,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
8.75,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
7.82,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
7.05,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
5.34,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
5.86,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.81,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
4.15,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
5.15,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
